city,district,sector,urban_level,market_access_score,competition_index,location_cost_index,business_main_group,business_subgroup,business_age_years,monthly_revenue,monthly_expenses,net_profit_margin,current_assets_value,current_liabilities_value,requested_loan_amount,desired_repayment_period_months,credit_score,existing_loans,repayment_history_score,seasonality_factor,economic_outlook_index,interest_rate_environment,loan_purpose,cash_flow_stability_score,ownership_type,business_stage,business_risk_level,preferred_funding_partner,expected_roi_percentage,predicted_profit_from_loan,total_repayment_amount,net_gain_or_loss
Huye,Tumba,Tumba Village,Peri-Urban,6,4,3,Services,Repair Workshop,11,4816144,3680769,0.24,8529191,1201759,18642687,36,547,0,60,Yes,0.28,15.0,Tech Adoption,53,Sole Proprietorship,Growth,Low,Bank of Kigali,20,3728537.4,21439090.05,932134.35
Huye,Ngoma,Ngoma Centre,Peri-Urban,10,3,4,Automotive,Tire Center,11,4687467,4325008,0.08,9267370,373499,7931508,36,662,1,40,Yes,0.05,12.5,Inventory,86,Sole Proprietorship,Declining,Medium,BRD,6,475890.48,8922946.5,-515548.02
Musanze,Busogo,Busogo I,Peri-Urban,7,3,5,Retail,Beans Shop,20,1373229,702198,0.49,8691199,1794898,14185671,24,315,1,95,No,-0.99,14.0,Expansion,17,Sole Proprietorship,Early Stage,High,SACCO,46,6525408.66,16171664.94,4539414.72
Rubavu,Gisenyi,Gisenyi Town,Urban,4,3,4,Services,Photocopy Center,18,1910745,694328,0.64,4247440,728579,4853143,36,746,5,49,Yes,-0.23,15.0,Tech Adoption,42,Cooperative,Early Stage,Medium,VisionFund,10,485314.3,5581114.45,-242657.15
Nyagatare,Karangazi,Rwimiyaga,Rural,4,4,3,Manufacturing,Textile Production,11,561895,404329,0.28,3345629,464338,13449845,6,521,3,60,No,0.19,14.0,Expansion,78,Cooperative,Growth,High,VisionFund,44,5917931.8,15332823.3,4034953.5
Musanze,Muhoza,Ruhengeri,Peri-Urban,9,5,9,Agriculture,Agri Supplies,5,3978752,247315,0.94,6779522,1186548,1571605,36,306,5,71,Yes,0.16,13.0,Tech Adoption,44,Cooperative,Declining,Low,Bank of Kigali,34,534345.7,1775913.65,330037.05
Musanze,Muhoza,Ruhengeri,Peri-Urban,5,1,7,Manufacturing,Textile Production,9,1296306,604507,0.53,9319743,934714,16951357,18,503,5,91,Yes,-0.47,13.0,Equipment Purchase,43,Sole Proprietorship,Early Stage,High,VisionFund,25,4237839.25,19155033.41,2034162.84
Kigali,Nyarugenge,Nyamirambo,Urban,6,4,4,Agriculture,Maize Farming,1,3369477,359413,0.89,2375695,166312,3488387,36,681,0,93,No,0.77,15.0,Inventory,54,Partnership,Mature,Medium,VisionFund,37,1290703.19,4011645.05,767445.14
Huye,Ngoma,Ngoma Centre,Peri-Urban,9,6,5,Agriculture,Maize Farming,10,3530564,1720292,0.51,5465387,1132856,15701486,6,558,5,22,No,-0.22,15.0,Tech Adoption,51,Cooperative,Declining,Low,BRD,48,7536713.28,18056708.9,5181490.38
Kigali,Gasabo,Remera,Urban,10,3,3,Agriculture,Bee Keeping,20,1600758,1304866,0.18,1996139,945592,10334308,6,761,3,35,Yes,0.32,15.0,Inventory,62,Partnership,Growth,Medium,VisionFund,8,826744.64,11884454.2,-723401.56
Musanze,Muhoza,Muhoza Centre,Peri-Urban,9,9,8,Retail,Food Market,18,2389018,1734541,0.27,7815102,1370156,8493588,18,408,4,16,Yes,0.0,14.0,Expansion,18,Sole Proprietorship,Declining,High,SACCO,38,3227563.44,9682690.32,2038461.12
Musanze,Busogo,Busogo I,Peri-Urban,4,7,8,Automotive,Spare Parts Shop,15,771688,279494,0.64,5601690,558390,8246407,6,805,2,47,Yes,-0.21,15.0,Tech Adoption,52,Cooperative,Declining,Low,Bank of Kigali,32,2638850.24,9483368.05,1401889.19
Nyagatare,Rukomo,Rukomo II,Rural,8,10,8,Agriculture,Bee Keeping,18,162304,124924,0.23,162829,905851,5459784,18,681,4,58,Yes,-0.49,14.0,Tech Adoption,87,Sole Proprietorship,Declining,High,VisionFund,10,545978.4,6224153.76,-218391.36
Huye,Tumba,Tumba Village,Peri-Urban,9,4,4,Manufacturing,Bakery,1,3068285,2941608,0.04,1716463,546436,13003947,18,676,4,45,No,0.85,12.5,Tech Adoption,97,Cooperative,Mature,Medium,Equity Bank,9,1170355.23,14629440.38,-455138.15
Nyagatare,Rukomo,Rukomo II,Rural,6,2,5,Automotive,Garage Services,20,3075323,659840,0.79,2336795,758570,14956655,24,783,3,87,Yes,0.63,13.0,Equipment Purchase,82,Sole Proprietorship,Declining,Low,BRD,22,3290464.1,16901020.15,1346098.95
Musanze,Muhoza,Muhoza Centre,Peri-Urban,10,3,6,Retail,Electronics Store,13,2427817,775907,0.68,7050291,612527,787724,6,632,3,58,No,0.87,14.0,Inventory,10,Sole Proprietorship,Mature,Medium,BRD,14,110281.36,898005.36,0.0
Rubavu,Kanama,Nyundo,Urban,5,3,6,Services,Laundry Service,4,3821815,1598517,0.58,8792313,154236,5813060,36,821,0,61,No,0.07,14.0,Equipment Purchase,91,Cooperative,Declining,Low,Bank of Kigali,41,2383354.6,6626888.4,1569526.2
Rubavu,Kanama,Nyundo,Urban,9,6,7,Agriculture,Agri Supplies,5,2331840,1036350,0.56,2451054,1700906,4373246,36,759,0,5,Yes,0.46,14.0,Expansion,39,Sole Proprietorship,Growth,Medium,VisionFund,19,830916.74,4985500.44,218662.3
Kigali,Kicukiro,Gatenga,Urban,5,4,5,Agriculture,Bee Keeping,13,2286181,1477545,0.35,1109232,802211,10362761,6,577,2,73,No,-0.22,15.0,Equipment Purchase,88,Partnership,Early Stage,High,VisionFund,31,3212455.91,11917175.15,1658041.76
Nyagatare,Karangazi,Karangazi Centre,Rural,9,7,5,Manufacturing,Furniture Making,17,2500602,1218230,0.51,8823770,1925849,463365,24,379,4,64,Yes,0.28,14.0,Expansion,24,Sole Proprietorship,Growth,High,VisionFund,28,129742.2,528236.1,64871.1
Musanze,Muhoza,Muhoza Centre,Peri-Urban,9,4,9,Retail,Clothing Shop,2,4009323,3363837,0.16,5941190,1059543,12711210,36,395,2,60,No,-0.14,13.0,Inventory,34,Cooperative,Declining,High,VisionFund,6,762672.6,14363667.3,-889784.7
Nyagatare,Rukomo,Rukomo I,Rural,5,6,7,Retail,Mini Supermarket,10,863297,509269,0.41,6992332,84414,16862403,24,312,0,99,Yes,-0.45,13.0,Tech Adoption,38,Sole Proprietorship,Early Stage,Medium,BRD,39,6576337.17,19054515.39,4384224.78
Huye,Tumba,Tumba Village,Peri-Urban,9,4,5,Agriculture,Pig Farming,8,3320985,1300621,0.61,4045475,828427,16210617,12,669,3,13,Yes,0.61,13.0,Inventory,16,Sole Proprietorship,Early Stage,Medium,VisionFund,27,4376866.59,18317997.21,2269486.38
Nyagatare,Karangazi,Karangazi Centre,Rural,7,4,8,Retail,Beans Shop,8,1903942,390994,0.79,2572323,675530,6125458,6,566,0,56,Yes,0.62,14.0,Tech Adoption,89,Partnership,Growth,Medium,VisionFund,43,2633946.94,6983022.12,1776382.82
Huye,Ngoma,Butare,Peri-Urban,10,9,3,Services,Repair Workshop,20,3531329,2157908,0.39,7942717,219559,7288679,6,815,3,41,No,-0.35,12.5,Inventory,98,Sole Proprietorship,Declining,Low,Bank of Kigali,8,583094.32,8199763.88,-327990.56
